ertek,egyedi_hash
998,ed1b6513a5e1f0d25c3b15a2b816a37e0a3865deba2ccb72d48bf9da5b9b93ff
2492,20d8e444d7eb21a2802878509a514330770084aa0d2960d3084ff1e2f6b547d4
1598,dbf76d6450228ba85ad6e915c6307151f64be7535a33e257277faa79d36280fa
1948,b464b4f52a1ca8d44617bd4aeb90452c4727ce25d41051f6812851a86d76de84
3405,e9d021473955e8af057076bdb64c0325ad4bdcea12a7ced12e386be9086a6025
1990,61f168d4f9b47dbd6435b29e9db4af9b2f92b992d21fe8e7ae33db45169ef5a1
3405,df31fabe68be09f205e4d45ec0a8fd1d79b6cea9552475785f1afbafc232b0a7
4245,87f78f48f13f45bb68e5af8111b450c50943fce1694ddb1b582e38e7cc64b669
2123,23084994b38269cea187081aa0a1efb03ca0cb5628360ad26cfa45507c4059ab
3996,f108a8306d1f11f5ad7337c902b1b9190c2b2223b2751eed646323a5833d3f03
1695,f67ff808575231e05f8bfc78209a784e2648f0730fca59df786fcc2f2b855674
3978,cf7326f2df0eae2741fb918be4dca34a5117fa64b4bcfb00b3d490d457f448e6
1873,ab753031eee2492cca6f065f3804e8ae2a2dd7c2015f3b4e19a6229f676e605d
538,9cf0d690465d24ca45c566dc1ce1ddeb386573716fcce0e0d4de7077a5dc4215
563,b7661a9ce6bb469bddf46840dc602d17bd4d23758cf2a43dd5c03c262246dae0
2660,9201d6b197447150557f5414575748c87b7b3437a57f69bd42d9b668e62d1faa
1299,7aaa9a89ec4dd8d9914e7ae7271f79ff92e63d5cd9adf55c2965934121b9778d
999,7aaa9a89ec4dd8d9914e7ae7271f79ff92e63d5cd9adf55c2965934121b9778d
4798,14050fbe4aa2b45fd55a11c3ba82a32b4823a1837fa0b4ea1b9d16813fcb3b96
846,a6d1bc896fed1954d0d0ab9fc75ce7398e62cf3daa4c54d1eeaf0b0b3fa7ce75
2434,2695a3036db9c80f546359dfe3fdc49439fb96d552bd486503b14c929b91e3e4
1727,8f5107eee04f1d13d864e0106414d0621bb0fe08d6312261b1229382770d291b
2041,14b8af62bcc23cb8545231839711ea47d1b99b92ebb17bdfe84c8195e251cb95
1598,c5c20c352f43e75c246411af937948e0dff587230d45f7f45bec3ce2085344fb
1948,1653be5bbe7df638448176147026b0de6cd1ff7ca467e0435d7cc0d6b80c92a6
2390,9a3899ba9b0aa8d4edd79ec4b1e4add6f1c9601e01387bbc86eb53272dd75725
3795,2f9e5346d5200cfeebe6a5b2304bd09c73fff2c81ac024604fa85701e852ae31
1938,a788e5a163825c69451659cb4722799b2b9eb00b65b9aa87548f5ecb3e2d9cb6
4830,7fb660108b7b11ba8dd5a72879a592a5cfc68b35489c7d974abaa108fee4854d
166,d598edb62bf698d36867b60a8484fb42060a035a3b26e586340aba86da383523
1710,0c7295584cc15a6e6913bcc2a6d9865486ed6b5e895ecc9b3eb4262f70684b9e
2492,3f18e9f2ff2ec44566aa2e5572f1a5c730fe2ff21e935914e027364434bda593
1666,20e097ebebd397cf7487f6d7525809f16949bf6fd9a3469e62a691f38bfecbfe
3890,b501da61f2d848efa189bc16ff8cabdec6ee8f5c27b2dcdc0a315a93db3e4300
2373,af521165f0fab2e180ccd74258273a91291ee538e17f3ce55196308d6be86dbd
4443,ac9dfcc5b0e22960bc04288d526cc7b5b023b5aef2f187e6615026eaf630fade
4245,8bf068a267a8852fe7ae2e31ee23fdd9f04613a4bfdf3371fc2fbc31858803f5
576,dda2c39b8a18b78c669a46f2d6dadd70f2721fb123d380a0f928fa52935efa22
