ertek,egyseg,egyedi_hash
2396,Ft/kg,e0240db69cbe9fbfb74a74f1be64428583fd0b2f56a9f359133609c36982f348
1799.33,Ft/kg,913f1f74ba19202112114464533801686849dcbf1b899842214a09ab8a2cd0b0
900,Ft/kg,0b6cf779d2bdf569c7d26042507cde69f0f93112052c575e7417f80753b35003
1198.67,Ft/kg,1696f7a0a3c726930c62de4b51e112cf3f8408fff28f8a158d27ffb5bba2c2df
7498,Ft/kg,0e758c364f51394e55639526b972f64353057ec4e17a91428c0cc0bbf925aa7c
3748,Ft/kg,0e758c364f51394e55639526b972f64353057ec4e17a91428c0cc0bbf925aa7c
1798,Ft/kg,c5d020153fcf4b63c1c350c07b3a1df52c377c3d495016a8297a2afaa5007158
9097,Ft/kg,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
5458,Ft/kg,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
6330,Ft/kg,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
3798,Ft/kg,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
1996,Ft/kg,2d090e8af4d6338771dbba04da42a2c27ab3a4e3825bb4772992ca48e27ea82f
1798,Ft/kg,54fa8bcd7581ff9ebaecb31757e28675b399bb209cc49f9fdae999e6ee550d8b
1198,Ft/kg,54fa8bcd7581ff9ebaecb31757e28675b399bb209cc49f9fdae999e6ee550d8b
499,Ft/kg,c56992ecff85d2fa96f405f3ad65eb2c96f74f2db42661af3419479374e99b38
3355,Ft/kg,56897a0c4a3a9b87a52c7e6ead51f37031b6219ad111fb7104ff674cb27bea1b
2718,Ft/kg,56897a0c4a3a9b87a52c7e6ead51f37031b6219ad111fb7104ff674cb27bea1b
2889,Ft/kg,cb9bb7ff77a4d957055c5d185bdff98497fd8c1dd8e63047e32a6a94110dc5e6
2311,Ft/kg,cb9bb7ff77a4d957055c5d185bdff98497fd8c1dd8e63047e32a6a94110dc5e6
2395,Ft/kg,f07673ed64482ab675fe59a6e0d16f17f4f1a0fcdc4e31b85c2da2d6e0c6fdee
399,Ft/kg,555b75b160b6d8225095959421dece4fc2339f0b6e5dba5a542f4ed9622ff49a
599,Ft/kg,bc789787aa00ab73508ebd0feb8d9bf1fc60567dd2d99ca43e4c83edf1b71315
7192,Ft/kg,47ef2bb8425b2b3ccc042968d7f9b114dc474dfb5938baf17a400f30b31a8f54
5192,Ft/kg,47ef2bb8425b2b3ccc042968d7f9b114dc474dfb5938baf17a400f30b31a8f54
1798,Ft/kg,ba22aac3de17078e0c5d2f3b7bcbfed9d5ab1b9221f279bcef06b62c40a27738
2427,Ft/kg,afeececd78f05507e7e5a318ecf7c56b75b5f1ef6fd89ccf4f2481aaa402da2d
1427,Ft/kg,afeececd78f05507e7e5a318ecf7c56b75b5f1ef6fd89ccf4f2481aaa402da2d
2215,Ft/kg,56846703b7a74d60d21ff514687faf107b5aca34e62519580052cdea6c42c365
1665,Ft/kg,56846703b7a74d60d21ff514687faf107b5aca34e62519580052cdea6c42c365
6380.85,Ft/l,e4f17ba4c57decc6a7d9aa9e4ed13ed4636b6ede5c91ae71ad23c8d7f4c1f8c8
5998,Ft/l,cfab9d8e0f9fbed8450695d2f7074d4f8d364293c41058684163d4e9f9154c57
1799.33,Ft/kg,c232900f8fc84e947f874fad7adb94fc21bcdebd83b5dc49dccc01d8851b4f07
