bolt_neve,termek_neve,akcio_idotartama,leiras,eredeti_ar,kedvezmenyes_ar,kartyas_e,kartya_tipus,kategoria,kategoria_kod,hierarchiaszint,egyedi_hash
Auchan,JÉGSALÁTA,2026.04.23 - 04.29,"Ft/db, származási hely: Magyarország",699,449,False,,Salátafélék,4,3,873be5c65807895f78861cfbdef1b40a826493309555857c0c6cf3c4fd6a4173
ALDI,ÚJBURGONYA,2026.04.27 - 04.29,500 g/csomag | 1 198 Ft/kg | 730267,999,599,False,,Burgonya,66,3,3b8eca925905526a62ef77d9b6ce6f68045c87edeaeae145c893a5f0d5fb289b
Tesco,Magyar csemegehagyma,2026.04.23 - 04.29,csomós,349,249,False,,Hagyma,67,3,23891057ecc698a1680492a50437bf96fd4955f5e809d3ea7f6a296560f4a9af
Auchan,"Bonduelle BONDUELLE GYORSFAGYASZTOTT BROKKOLI, ZSENGE ZÖLDBORSÓ VAGY ROYAL ZÖLDSÉGKEVERÉK",2026.04.23 - 04.29,"1000 g, 1749 Ft/kg Bizalomkártyával: 1399 Ft/kg",1749,1399,True,Bizalomkártyával,Mirelit zöldség,12,3,b935911c592099aaf4609629dd758bc614cb44ca28cd15250e91e848f47b0597
SPAR,Sprint Natura zöldborsó,2026.04.23 - 04.29,"gyorsfagyasztott 450 g (1.108,89 Ft/1 kg)",699,499,False,,Mirelit zöldség,12,3,1ffc8856249f98982e7f7159ab173b0bded7b62478ad2b1de0aaebb594c86e1a
ALDI,ALL SEASONS HASÁBBURGONYA,2026.04.27 - 04.29,sütőben süthető | 1 kg/csomag | 549 Ft/kg | 852863 | vegán,749,549,False,,Mirelit zöldség,12,3,bf3cd55cbd8c150458db919d65c4d00f303cbeadee998ea043f0d5cc7c889887
Auchan,Auchan AUCHAN KEDVENC GYORSFAGYASZTOTT KLASSZIKUS HASÁBBURGONYA,2026.04.23 - 04.29,1 kg,799,649,False,,Mirelit zöldség,12,3,676354949b5fc152a32d95c59a37aa08cc143b8d64addf895ec1f6ac9473ef01
Tesco,"Iglo gyorsfagyasztott, krémes parajpüré",2026.04.23 - 04.29,"450 g, 2153 Ft/1 kg | 1553 Ft/1 kg",969,699,False,,Mirelit zöldség,12,3,fa3208f51e59f9d88b5706ba13a4f70e400388a289e7582d44682c2362126d61
Tesco,FRoSTA gyorsfagyasztott serpenyős zöldségek,2026.04.23 - 04.29,"mexikói stílusban 400 g, 2 498 Ft/1 kg 1998 Ft/1 kg",999,799,False,,Mirelit zöldség,12,3,55e37b2e0144d9d9b89057d6cf96943a33e3d6c80cdcaf8342197547e5301720
Auchan,Bovita BOVITA FAGYASZTOTT ÉDESBURGONYA HASÁB,2026.04.23 - 04.29,"500 g, 2678 Ft/kg, 1998 Ft/kg",1339,999,False,,Mirelit zöldség,12,3,d19b80340a854acdde3344791b7461f35e07eaf1a7ef3bb2b419839bc33c276c
ALDI,PETREZSELYEMZÖLD,2026.04.27 - 04.29,100 g/csomag | 2 990 Ft/kg | 741327,499,299,False,,Fűszernövények,177,3,d8072c6a8e6a6e3739e4b16921bc9f69f97348097683683aaf7b4f538941821b
SPAR,Cukkini,2026.04.23 - 04.29,1 kg,1199,699,True,Supershop kártyával,Tökfélék,274,3,106ab16f1918902b4c5871f7270caf21419079d7b7a8c61b22404685b1b89638
SPAR,SPAR csemegeuborka,2026.04.23 - 04.29,"6-9 cm-es töltőtömeg: 360 g (1.941,67 Ft/1 kg)",699,599,True,Supershop kártyával,Tökfélék,274,3,1942cad601ce98963afb7591de53210db9aa8989d3578993214ba18069329227
Lidl,Kígyóuborka,2026.04.27 - 04.29,"1 db vásárlása esetén: 299 Ft/db | Legalább 2 db vásárlása esetén, minden második termék ára: 139 Ft/db | /db | 82231",299,139,False,,Tökfélék,274,3,8b229333aa83c80f33de57df2ad09da791df914b6cbacd5f4943c1697ac6e9d1
Tesco,Kígyóuborka,2026.04.23 - 04.29,,499,195,False,,Tökfélék,274,3,af0216b97d39a0bc9c8c842671bf4aad9647cc396d24498020ea4761f6910864
ALDI,KÍGYÓUBORKA,2026.04.27 - 04.29,/darab | 249 Ft/db | 854169,499,249,False,,Tökfélék,274,3,1b3ddeaa7bd623623f94805c2502a1272cc0ad10528c22fd294945ae2c334639
SPAR,Eisberg Bolero Mix salátakeverék,2026.04.23 - 04.29,"csomagolt 140 g (4.492,85 Ft/1 kg)",629,479,True,Supershop kártyával,Egyéb zöldség,277,3,cfcd8c912e214db861b0f0001be87d1a20c2b1f27ca8003c1a5f797d52358b90
Lidl,Rukkola,2026.04.27 - 04.29,125 g / csomag; 1 kg = 3 192 Ft | 82135,549,399,True,Lidl Plus alkalmazással,Egyéb zöldség,277,3,e342dc71d0642b937544ec57ef92b3fdf5cbb8778c0d6d87c2a87c7427f73c26
ALDI,GÁLA ALMA,2026.04.27 - 04.29,/kg | 399 Ft/kg | 731262,558,399,False,,Almafélék,64,3,9f0f1d18284617f5bf5445c8296a4c32cd638fa74587d8a39141cd1865430bfd
Auchan,AUCHAN KEDVENC MÁLNA,2026.04.23 - 04.29,"125 g, 9592 Ft/kg, 4632 Ft/kg",1199,579,False,,Bogyós gyümölcsök,65,3,b9d515c8a799e5dffb1aca68071425596376361244310997fa187f2c16a1eca9
ALDI,MÁLNA,2026.04.27 - 04.29,125 g/csomag | 5 592 Ft/kg | 712485,1199,699,False,,Bogyós gyümölcsök,65,3,0b9d50702de7fa7d8786657b6d391510caf0c5975e26c2a748246182f682957d
Tesco,Tesco eper,2026.04.23 - 04.29,"500 g, 1398 Ft/1 kg",1999,699,False,,Bogyós gyümölcsök,65,3,308bb0ac3ee12090d82708f9afbdf3192e00a97aa4046fa65509e4711950c981
Lidl,Avokádó,2026.04.27 - 04.29,"1 db vásárlása esetén: 599 Ft/db | Legalább 2 db vásárlása esetén, minden második termék ára: 199 Ft/db | /db | 80616",599,199,False,,Egzotikus gyümölcs,186,3,1982a4a745127bab318f660052829b4b37126218f317ef490fb22e85834d699c
Tesco,Tesco finest avokádó,2026.04.23 - 04.29,,699,399,False,,Egzotikus gyümölcs,186,3,69fc21aa38dc373b45ad9730943cce1a3ee81cca1d492dd7d9fc3ac49cb4c8cb
Auchan,"Bonduelle BONDUELLE GYORSFAGYASZTOTT BROKKOLI, ZSENGE ZÖLDBORSÓ VAGY ROYAL ZÖLDSÉGKEVERÉK",2026.04.23 - 04.29,"1000 g, 1749 Ft/kg Bizalomkártyával: 1399 Ft/kg",1749,1399,True,Bizalomkártyával,Mirelit gyümölcs,11,3,07614c81a6fd9ea7f25665fb95cda32036a627bc8d8d260f4f0546cd33ed2d22
Tesco,Tesco tölcséres jégkrém,2026.04.23 - 04.29,"többféle, 120 ml | 2242 Ft/1 l | Clubcarddal: | 1242 Ft/1 l",269,149,True,Clubcarddal,Mirelit gyümölcs,11,3,fa5ad89ccc89ba8f46cab04f596cfbab5e9ad47179e7d4512af18398c4432225
Lidl,BON GELATI Amerikai stílusú jégkrém,2026.04.23 - 04.29,New York sajttorta / brownie | 900 ml; 1 l = 1710 Ft | 206710,2199,1539,True,Lidl Plus alkalmazással,Mirelit gyümölcs,11,3,0c7295584cc15a6e6913bcc2a6d9865486ed6b5e895ecc9b3eb4262f70684b9e
Tesco,Ripp-Ropp bundásmackó,2026.04.23 - 04.29,1 kg,2289,1799,True,Clubcarddal,Mirelit gyümölcs,11,3,e162e22e578e35e16b7559af69fd213ee7a81a47f5ccdda5ea39df567bc288e8
Tesco,Carte dOr Classic jégkrém,2026.04.23 - 04.29,"többféle, 1 l",2399,1799,True,Clubcarddal,Mirelit gyümölcs,11,3,15105f4e8b5dce1ed69649266fe725a0a0b49706910599b3ebe00df8a2b1c387
Tesco,Pizza Doro Contadina pizza,2026.04.23 - 04.29,400 g | 4073 Ft/1 kg | Clubcarddal: 3098 Ft/1 kg,1629,1239,True,Clubcarddal,Mirelit gyümölcs,11,3,f7b3bd07a74b87f7c51f9f54def73af5071a578bd7cc9e58aa0a481e3ffd1cf5
Tesco,Carte DOr jégkrém,2026.04.23 - 04.29,"többféle, 200 ml | 4495 Ft/1 l | Clubcarddal: 3345 Ft/1 l",899,669,True,Clubcarddal,Mirelit gyümölcs,11,3,5ceb85ec9ebecdc6d28c39ad569eaa03881c5b9e42f54cad83d906432622231c
Tesco,Tesco Stracciatella Crunch dobozos jégkrém*,2026.04.23 - 04.29,460 ml | 3628 Ft/1 l | Clubcarddal: 2172 Ft/1 l,1669,999,True,Clubcarddal,Mirelit gyümölcs,11,3,56dfe3405c57060ba1a8171ec21b3242b60b3327857debcbfab384f2f7223c30
Tesco,Magnum jégkrém multipack,2026.04.23 - 04.29,3x90 ml/cs | 9367 Ft/1 l | Clubcarddal: 7404 Ft/1 l,2529,1999,True,Clubcarddal,Mirelit gyümölcs,11,3,a358b5d0f057205e9689964a214896c52ce878fc89407181dda939b60558309d
Lidl,GELATELLI Pálcikás jégkrém,2026.04.23 - 04.29,Fehér csokoládé - mandula | 120 ml; 1 l = 2492 Ft | 137327,449,299,False,,Mirelit gyümölcs,11,3,3f18e9f2ff2ec44566aa2e5572f1a5c730fe2ff21e935914e027364434bda593
SPAR,SPAR nudli,2026.04.23 - 04.29,gyorsfagyasztott 500 g (798 Ft/1 kg),699,399,False,,Mirelit gyümölcs,11,3,6e53277499695e589880082988ea697319a361c8fafae400a9cadcb852877cd9
SPAR,Sprint Natura zöldborsó,2026.04.23 - 04.29,"gyorsfagyasztott 450 g (1.108,89 Ft/1 kg)",699,499,False,,Mirelit gyümölcs,11,3,e06b0f422bad43106531b18e7d42412090b6800a0bfb999b4708b87d1f11511b
ALDI,ALL SEASONS HASÁBBURGONYA,2026.04.27 - 04.29,sütőben süthető | 1 kg/csomag | 549 Ft/kg | 852863 | vegán,749,549,False,,Mirelit gyümölcs,11,3,50e2ea12e05c87bdbb377c424ce354ed4766e869790bae6ec52c3180a638e738
Auchan,Auchan AUCHAN KEDVENC GYORSFAGYASZTOTT KLASSZIKUS HASÁBBURGONYA,2026.04.23 - 04.29,1 kg,799,649,False,,Mirelit gyümölcs,11,3,fb4e4b938ddc26ff82f5110fb26e765ab221ecea8e939198e4c873b1a14c39f0
Tesco,"Iglo gyorsfagyasztott, krémes parajpüré",2026.04.23 - 04.29,"450 g, 2153 Ft/1 kg | 1553 Ft/1 kg",969,699,False,,Mirelit gyümölcs,11,3,626fab4e154ed97937de2f4d20e047a8e3925acc9c69e4c088d2623399def486
Tesco,FRoSTA gyorsfagyasztott serpenyős zöldségek,2026.04.23 - 04.29,"mexikói stílusban 400 g, 2 498 Ft/1 kg 1998 Ft/1 kg",999,799,False,,Mirelit gyümölcs,11,3,ef7d21aafedb7a2f7b17b45a29a5fd8bbd3338efa1b49db3bc1823482582e8a1
Auchan,Bovita BOVITA FAGYASZTOTT ÉDESBURGONYA HASÁB,2026.04.23 - 04.29,"500 g, 2678 Ft/kg, 1998 Ft/kg",1339,999,False,,Mirelit gyümölcs,11,3,f009ffa928dcc6f07a8de78c6ac02dd6583c8807c2f532216447eabaf165fed9
Auchan,Buitoni BUITONI PICCOLINIS MINI PIZZA,2026.04.23 - 04.29,"többféle, 270 g, 5181 Ft/kg, 4404 Ft/kg",1399,1189,False,,Mirelit gyümölcs,11,3,793fcd9ca88d6b28f3a3e4cb2bcb8c793ab9405fcd6721dd11bea6f8a3babd9d
SPAR,Dr. Oetker Feliciana pizza,2026.04.23 - 04.29,"gyorsfagyasztott 320 g (3.746,88 Ft/1 kg) 325 g (3.689,23 Ft/1 kg)",1599,1199,False,,Mirelit gyümölcs,11,3,b94e3f02f62cffdfc798ac172de7054514c4b23f3a9324ab66f33648dd9fba43
Lidl,GELATELLI Tölcséres jégkrém,2026.04.23 - 04.29,Kávé / mandula | 720 ml; 1 l = 1666 Ft | 6010586,1699,1199,False,,Mirelit gyümölcs,11,3,20e097ebebd397cf7487f6d7525809f16949bf6fd9a3469e62a691f38bfecbfe
Auchan,Auchan AUCHAN KEDVENC CSALÁDI JÉGKRÉM,2026.04.23 - 04.29,"Ft/db, többféle, 473,5/490,5/500/663/665 g, 4644/4483/4398/3317/3307 Ft/kg, 3166/3056/2998/2261/2254 Ft/kg",2199,1499,False,,Mirelit gyümölcs,11,3,b14a8d7f04c514f9de8f92b24eef571419f100030fefde919ddf34564d73745c
ALDI,PIZZAH KÖVÖN SÜTÖTT PIZZA,2026.04.27 - 04.29,"szalámis | 3 x 350 g/doboz | 1 618,10 Ft/kg | 832599",2499,1699,False,,Mirelit gyümölcs,11,3,11207af457d1d48bbb28c93349d4c0e23cede4efe05407c3ba73a0bcf2151cf4
SPAR,Living Foods növényi húshelyettesítő,2026.04.23 - 04.29,"gyorsfagyasztott 400 g (6.497,50 Ft/1 kg)",3299,2599,False,,Mirelit gyümölcs,11,3,82acfd5ac3d7885ecdc1d1ebe05021b3e68494b6b64321f25b2889d8381d4422
Tesco,Tesco sertés-marha hamburgerpogácsa,2026.04.23 - 04.29,"440 g, 3180 Ft/1 kg",1499,1399,False,,Marhahús,16,2,da4588998d691427a7ff857f42a29fbf2442ce36050d58736c55aef381187d29
