ertek,egyedi_hash
"1db vásárlása esetén: 599Ft/db Legalább 2db vásárlása esetén, minden második termék ára: 199Ft/db /db",29f03a6dc9716388c038e7c7a1f723fee68804c8680d88b8447dce999d77e27b
"1csomag vásárlása esetén: 649Ft/csomag, 1kg 1755Ft",ec3699e106ddfdc6f1d2426cb35f533932c0c2397565296b94f942adb81fc28c
"Legalább 2csomag vásárlása esetén, minden második termék ára: 199Ft/csomag, 1kg 538Ft",ec3699e106ddfdc6f1d2426cb35f533932c0c2397565296b94f942adb81fc28c
1csomag vásárlása esetén: 1199Ft/csomag 1kg 9592Ft,31e9648dd1e3d1e88e7a46305eb955c0af2010247b7f5f912a865be5f8912ff2
"Legalább 2csomag vásárlása esetén, minden második termék ára: 599Ft/csomag 1kg 4792Ft",31e9648dd1e3d1e88e7a46305eb955c0af2010247b7f5f912a865be5f8912ff2
1db vásárlása esetén: 379Ft/db,76f36a5849190cde827dcb85a0f4f1c8aeb602d41c8dd506d34524486be76f42
6db vásárlása esetén: 316Ft/db,76f36a5849190cde827dcb85a0f4f1c8aeb602d41c8dd506d34524486be76f42
3+1 3-at fizet 4-et kap,21875ce9fafc945a65cdd96e1eea9ef07f1395b44a87a4eefbadf8ffffccadb0
4db vásárlása esetén:,21875ce9fafc945a65cdd96e1eea9ef07f1395b44a87a4eefbadf8ffffccadb0
"Csábítóan zamatos illatában megjelenik a cseresznye a meggy, légies parfümösség mellett. Ízében ribizlire kajszibarackra emlékeztető jegyekkel, vibráló savakkal. 1db vásárlása esetén: 949Ft/db, 1l 1266Ft Legalább 2db vásárlása esetén, minden második termék ára: 379Ft/db, 1l 506Ft +50Ft betétdíj 0.75l",dd942a2cd76aa432bd5511050d9b5d24d7ff409f46f2b05bbf07cc97be02768e
1db vásárlása esetén: 299Ft/db,8b229333aa83c80f33de57df2ad09da791df914b6cbacd5f4943c1697ac6e9d1
"Legalább 2db vásárlása esetén, minden második termék ára: 139Ft/db",8b229333aa83c80f33de57df2ad09da791df914b6cbacd5f4943c1697ac6e9d1
1db vásárlása esetén: 599Ft/db,1982a4a745127bab318f660052829b4b37126218f317ef490fb22e85834d699c
"Legalább 2db vásárlása esetén, minden második termék ára: 199Ft/db",1982a4a745127bab318f660052829b4b37126218f317ef490fb22e85834d699c
1db vásárlása esetén: 185Ft/db 1kg 925Ft,8edc4ddd95c2f3c732743a66058460c1d0a6f7ee10bf7c15b38eef972b84b123
"Legalább 2db vásárlása esetén, minden második termék ára: 89Ft/db 1kg 445Ft",8edc4ddd95c2f3c732743a66058460c1d0a6f7ee10bf7c15b38eef972b84b123
3+1 3-at fizet 4-et kap,21875ce9fafc945a65cdd96e1eea9ef07f1395b44a87a4eefbadf8ffffccadb0
4db vásárlása esetén:,21875ce9fafc945a65cdd96e1eea9ef07f1395b44a87a4eefbadf8ffffccadb0
"Csábítóan zamatos illatában megjelenik a cseresznye a meggy, légies parfümösség mellett. Ízében ribizlire kajszibarackra emlékeztető jegyekkel, vibráló savakkal. 1db vásárlása esetén: 949Ft/db, 1l 1266Ft Legalább 2db vásárlása esetén, minden második termék ára: 379Ft/db, 1l 506Ft +50Ft betétdíj 0.75l",dd942a2cd76aa432bd5511050d9b5d24d7ff409f46f2b05bbf07cc97be02768e
"1db vásárlása esetén: 229Ft/db Legalább 2db vásárlása esetén, minden második termék ára: 89Ft/db",162bf22e3f7dceacd6d94a499bdb068d4b0deed68525eda79adf68c21ec8855e
"1db vásárlása esetén: 599Ft/db Legalább 2db vásárlása esetén, minden második termék ára: 299Ft/db",711f556f1dff9dcdb9dc70d95272a6f805f41b562d6f14b1c491063548ca2047
"1db vásárlása esetén: 599Ft/db Legalább 2db vásárlása esetén, minden második termék ára: 199Ft/db",819d38581c3cb4cddd4d4d14982c9facfd06bc3e8dfbf95e7f3fd34f0296f5bb
1db vásárlása esetén:,d7d5467d78ec32feaa081235cd6e91795837cfcd4bd6934a1d91a51ee49d8fa7
3db vásárlása esetén:,d7d5467d78ec32feaa081235cd6e91795837cfcd4bd6934a1d91a51ee49d8fa7
"4-féle 4.5% alkoholtartalom 0.33liter 1db vásárlása esetén: 499Ft/db, 1512Ft/liter 2db vásárlásától: 399Ft/db, 1209Ft/liter",42014693e96a2aa1e30028b0c506ad883473a4b0a8b27eb7c84070adf92f48b0
