tulajdonsag,ertek,egyseg,darabszam,egyedi_hash
tömeg,0.25,kg,1,e0240db69cbe9fbfb74a74f1be64428583fd0b2f56a9f359133609c36982f348
darabszám,1,db,1,e0240db69cbe9fbfb74a74f1be64428583fd0b2f56a9f359133609c36982f348
tömeg,1.5,kg,1,913f1f74ba19202112114464533801686849dcbf1b899842214a09ab8a2cd0b0
tömeg,0.45,kg,1,0b6cf779d2bdf569c7d26042507cde69f0f93112052c575e7417f80753b35003
darabszám,1,db,1,0b6cf779d2bdf569c7d26042507cde69f0f93112052c575e7417f80753b35003
tömeg,0.75,kg,1,1696f7a0a3c726930c62de4b51e112cf3f8408fff28f8a158d27ffb5bba2c2df
tömeg,1,kg,1,870bee4822fc19457dfb71a64b11171e0d889176b033158eee5554e7fb064558
tömeg,0.5,kg,1,ed1b6513a5e1f0d25c3b15a2b816a37e0a3865deba2ccb72d48bf9da5b9b93ff
darabszám,1,db,1,ed1b6513a5e1f0d25c3b15a2b816a37e0a3865deba2ccb72d48bf9da5b9b93ff
tömeg,1,kg,1,ed1b6513a5e1f0d25c3b15a2b816a37e0a3865deba2ccb72d48bf9da5b9b93ff
tömeg,1,kg,1,4f492918ad2d353e602c1d6615ad38fbea0cc4d4c5558d574b14c7b989e0abf0
tömeg,0.4,kg,1,0e758c364f51394e55639526b972f64353057ec4e17a91428c0cc0bbf925aa7c
tömeg,0.5,kg,1,c5d020153fcf4b63c1c350c07b3a1df52c377c3d495016a8297a2afaa5007158
tömeg,0.3,kg,1,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
tömeg,0.5,kg,1,d6499c5b5a35b48fc526399a78fcd19e793aca651ac5401b289ab0660d607c50
tömeg,0.25,kg,1,2d090e8af4d6338771dbba04da42a2c27ab3a4e3825bb4772992ca48e27ea82f
darabszám,1,db,1,2d090e8af4d6338771dbba04da42a2c27ab3a4e3825bb4772992ca48e27ea82f
tömeg,0.5,kg,1,54fa8bcd7581ff9ebaecb31757e28675b399bb209cc49f9fdae999e6ee550d8b
tömeg,1,kg,1,c56992ecff85d2fa96f405f3ad65eb2c96f74f2db42661af3419479374e99b38
darabszám,1,db,1,c56992ecff85d2fa96f405f3ad65eb2c96f74f2db42661af3419479374e99b38
tömeg,0.11,kg,1,56897a0c4a3a9b87a52c7e6ead51f37031b6219ad111fb7104ff674cb27bea1b
tömeg,0.19,kg,1,cb9bb7ff77a4d957055c5d185bdff98497fd8c1dd8e63047e32a6a94110dc5e6
tömeg,0.2,kg,1,f07673ed64482ab675fe59a6e0d16f17f4f1a0fcdc4e31b85c2da2d6e0c6fdee
darabszám,1,db,1,f07673ed64482ab675fe59a6e0d16f17f4f1a0fcdc4e31b85c2da2d6e0c6fdee
tömeg,0.125,kg,1,47ef2bb8425b2b3ccc042968d7f9b114dc474dfb5938baf17a400f30b31a8f54
tömeg,0.5,kg,1,ba22aac3de17078e0c5d2f3b7bcbfed9d5ab1b9221f279bcef06b62c40a27738
darabszám,1,db,1,ba22aac3de17078e0c5d2f3b7bcbfed9d5ab1b9221f279bcef06b62c40a27738
darabszám,1,db,1,2e4d575d0ec1a13b96d5e927eea73b1edbddeee4e760b964aa61708f93490133
tömeg,0.7,kg,1,afeececd78f05507e7e5a318ecf7c56b75b5f1ef6fd89ccf4f2481aaa402da2d
űrtartalom,0.12,l,1,20d8e444d7eb21a2802878509a514330770084aa0d2960d3084ff1e2f6b547d4
űrtartalom,1,l,1,20d8e444d7eb21a2802878509a514330770084aa0d2960d3084ff1e2f6b547d4
tömeg,0.6,kg,1,56846703b7a74d60d21ff514687faf107b5aca34e62519580052cdea6c42c365
űrtartalom,0.47,l,1,e4f17ba4c57decc6a7d9aa9e4ed13ed4636b6ede5c91ae71ad23c8d7f4c1f8c8
tömeg,0.5,kg,1,dbf76d6450228ba85ad6e915c6307151f64be7535a33e257277faa79d36280fa
tömeg,1,kg,1,dbf76d6450228ba85ad6e915c6307151f64be7535a33e257277faa79d36280fa
tömeg,0.4,kg,1,b464b4f52a1ca8d44617bd4aeb90452c4727ce25d41051f6812851a86d76de84
tömeg,1,kg,1,b464b4f52a1ca8d44617bd4aeb90452c4727ce25d41051f6812851a86d76de84
űrtartalom,0.5,l,1,cfab9d8e0f9fbed8450695d2f7074d4f8d364293c41058684163d4e9f9154c57
tömeg,1.5,kg,1,c232900f8fc84e947f874fad7adb94fc21bcdebd83b5dc49dccc01d8851b4f07
űrtartalom,1.4,l,1,c913532a0b9ec59801388cf379aea7c48a7ad8c44b31c6bcee33af94f86b34ae
űrtartalom,0.1,l,6,8e0a392ad2d6b7ae57cce72c836df5de14978d9953c51c5b8c8b7ecb3b8f1b50
űrtartalom,0.1,l,1,8e0a392ad2d6b7ae57cce72c836df5de14978d9953c51c5b8c8b7ecb3b8f1b50
tömeg,0.25,kg,1,fc63e33496919daa4c356ea7ba5511d974f29c7da1eaee98322b85a2bf03bc41
tömeg,0.8,kg,1,7d1721ef86b56e23ea11072b488cbad7e55b31e9a3f6d29a7636b33ec20b8120
űrtartalom,0.11,l,1,9b406a5f6ffff83356bf81eb3f323e4ba48cc2870e3a4d33901ac819e9686550
űrtartalom,0.05,l,6,06b9b2ecb65d80e44ec251266dae2eba52adeb0985a8a815f4ed01df8f4403b4
űrtartalom,0.05,l,1,06b9b2ecb65d80e44ec251266dae2eba52adeb0985a8a815f4ed01df8f4403b4
tömeg,1,kg,1,4df1896af432861fbfb12cde09e51e69c26613d91c856e466039d89b06f9fce6
űrtartalom,0.825,l,1,a5e319e5d3e5baeba411bcfa9c3a845134794b0232be238835d4f555c4911a14
tömeg,0.18,kg,1,468ad52688e484db47b6238be5e769f5b3f60ac2590e0e5d527a90a1760ac9c0
tömeg,0.45,kg,1,ba37270295156fe52423d58eea4acbd63df3d97ee1b8366ff5064029b67855f5
darabszám,1,db,1,ba37270295156fe52423d58eea4acbd63df3d97ee1b8366ff5064029b67855f5
tömeg,0.3,kg,1,cc35036c635d1a82f031b12ca1deaf962027768c73c8ac23d61b785e6e4a8449
űrtartalom,0.2,l,1,0f7668b2f6516a5a53dc1b241e1eb9318f4a48eaeae87f3ad85a805ad6a1ecb9
űrtartalom,0.2,l,1,43294eafb927c2f5f2e1ef3265bde93851fa402fb47bb9720b8c53e25949e227
tömeg,0.22,kg,1,e9d021473955e8af057076bdb64c0325ad4bdcea12a7ced12e386be9086a6025
tömeg,1,kg,1,e9d021473955e8af057076bdb64c0325ad4bdcea12a7ced12e386be9086a6025
tömeg,0.3,kg,1,1e500e60d4188667b89dc0d507d5177e998b4d59b5dc1136d67cc874264b4495
tömeg,0.75,kg,1,fd338442d04b4348aa05b84e185f0ec9cbfe30683a50086003ef025239d3d65e
